Id,Title,Description,Price,Vendor Code,Availability,Categories,Images,Attributes
211680,Сумка Y8014 black,,350,(24)(1.3.2.3) Сумка Y8014 black,true,Сумки классические,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7166.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7166.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7167.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7169.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7179.jpg,"Материал:| кожзам#Размеры:| высота 24 см, ширина 26 см, дно 12 см#Внешние карманы:| нет#Длинная ручка:| есть#Цвет фурнитуры:| черный#Отделения:| три (одно на молнии + два на кнопках)#Примечание:| сумка без подклада#Цвет|Коричневый, Черный#Материал|Кожзаменитель"
211679,Сумка Y8014 khaki,,350,(24)(1.3.2.3) Сумка Y8014 khaki,true,Сумки классические,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7164.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7162.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7164.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7165.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7179.jpg,"Материал:| кожзам#Размеры:| высота 24 см, ширина 26 см, дно 12 см#Внешние карманы:| нет#Длинная ручка:| есть#Цвет фурнитуры:| черный#Отделения:| три (одно на молнии + два на кнопках)#Примечание:| сумка без подклада#Цвет|Бежевый, Коричневый#Материал|Кожзаменитель"
211678,Сумка Y8044 black,,350,(24)(1.2.1.1) Сумка Y8044 black,true,Сумки классические,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7156.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7157.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7158.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7159.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7178.jpg,"Материал:| кожзам#Размеры:| высота 23 см, ширина 29 см, дно 12 см#Внешние карманы:| есть#Длинная ручка:| нет#Цвет фурнитуры:| черный#Отделения:| одно (внутри есть перегородка)#Примечание:| сумка держит форму, ручки отстегиваются#Цвет|Черный#Материал|Кожзаменитель"
211677,Сумка Y8044 khaki,,350,(24)(1.2.1.1) Сумка Y8044 khaki,true,Сумки классические,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7150.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7151.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7152.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7153.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7178.jpg,"Материал:| кожзам#Размеры:| высота 23 см, ширина 29 см, дно 12 см#Внешние карманы:| есть#Длинная ручка:| нет#Цвет фурнитуры:| черный#Отделения:| одно (внутри есть перегородка)#Примечание:| сумка держит форму, ручки отстегиваются#Цвет|Бежевый, Коричневый#Материал|Кожзаменитель"
211676,Сумка B6010 black,,330,(24)(1.1.3.2) Сумка B6010 black,true,Сумки классические|Дорожные и спортивные сумки,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7144.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7145.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7147.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7148.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7177.jpg,"Материал:|синтетическая ткань#Размеры:| высота 28 см, ширина 33-43 см, дно 18 см#Внешние карманы:| нет#Длинная ручка:| нет#Цвет фурнитуры:| серебро#Отделения:| одно#Примечание:| мягкая сумка#Цвет|Черный#Материал|Синтетическая ткань"
211675,Сумка B6010 grey,,330,(24)(1.1.3.2) Сумка B6010 grey,true,Сумки классические|Дорожные и спортивные сумки,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7139.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7140.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7141.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7143.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7177.jpg,"Материал:|синтетическая ткань#Размеры:| высота 28 см, ширина 33-43 см, дно 18 см#Внешние карманы:| нет#Длинная ручка:| нет#Цвет фурнитуры:| серебро#Отделения:| одно#Примечание:| мягкая сумка#Цвет|Серый#Материал|Синтетическая ткань"
211672,Клатч B6019 black,Клатч для повседневного использования.,350,(24)(1.1.1.2) Клатч B6019 black,true,Копии брендов|Сумки через плечо,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7123.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7124.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7125.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7126.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7173.jpg,"Материал:| текстиль#Размеры:| высота 15 см, ширина 24 см, дно 9 см#Внешние карманы:| есть#Длинная ручка:| есть#Цвет фурнитуры:| черный#Отделения:| одно#Примечание:| сумка открывается снизу#Цвет|Серый, Черный#Материал|Синтетическая ткань#Бренд|Копии премиум"
211671,Сумка B6027 black,Клатч для повседневного использования.,330,(24)(1.1.2.2) Сумка B6027 black,true,Сумки классические|Дорожные и спортивные сумки,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7118.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7120.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7121.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7122.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7171.jpg,"Материал:| кожзам#Размеры:| высота 18 см, ширина 30 см, дно 18 см#Внешние карманы:| нет#Длинная ручка:| есть#Цвет фурнитуры:| черная#Отделения:| одно#Примечание:| сумка без подклада, съемный брелок в комплекте#Цвет|Черный#Материал|Кожзаменитель"
211668,Сумка B6027 d.grey,Клатч для повседневного использования.,330,(24)(1.1.2.2) Сумка B6027 d.grey,true,Сумки классические|Дорожные и спортивные сумки,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7107.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7108.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7109.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7110.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7171.jpg,"Материал:| кожзам#Размеры:| высота 18 см, ширина 30 см, дно 18 см#Внешние карманы:| нет#Длинная ручка:| есть#Цвет фурнитуры:| черная#Отделения:| одно#Примечание:| сумка без подклада, съемный брелок в комплекте#Цвет|Серый#Материал|Кожзаменитель"
211632,Клатч B6033 black,Клатч для повседневного использования.,350,(24)(1.1.3.2) Клатч B6033 black,true,Копии брендов|Сумки через плечо,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7101.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7103.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7105.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7106.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7170.jpg,"Материал:| кожзам#Размеры:| высота 13,5 см, ширина 20 см, дно 8 см#Внешние карманы:| нет#Длинная ручка:| есть (высота 64 см)#Цвет фурнитуры:| в цвет сумки#Отделения:| одно (есть карман под клапаном)#Примечание:| цепочка несъемная, можно носить сложив вдвое#Цвет|Черный#Материал|Кожзаменитель#Бренд|Копии премиум"
211608,Клатч B6033 khaki,Клатч для повседневного использования.,350,(24)(1.1.3.2) Клатч B6033 khaki,true,Копии брендов|Сумки через плечо,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7097.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7098.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7099.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7100.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7170.jpg,"Материал:| кожзам#Размеры:| высота 13,5 см, ширина 20 см, дно 8 см#Внешние карманы:| нет#Длинная ручка:| есть (высота 64 см)#Цвет фурнитуры:| в цвет сумки#Отделения:| одно (есть карман под клапаном)#Примечание:| цепочка несъемная, можно носить сложив вдвое#Цвет|Бежевый, Коричневый#Материал|Кожзаменитель#Бренд|Копии премиум"
211603,Клатч B6048 khaki,Клатч для повседневного использования.,350,(24)(1.1.1.2) Клатч B6048 khaki,true,Копии брендов|Сумки через плечо,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7092.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7094.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7095.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7096.jpg,"Материал:| кожзам#Размеры:| высота 15 см, ширина 23 см, дно 8 см#Внешние карманы:| нет#Длинная ручка:| есть (высота 58 см)#Цвет фурнитуры:| —#Отделения:| два#Примечание:| цепочка несъемная#Цвет|Бежевый, Коричневый#Материал|Кожзаменитель#Бренд|Копии премиум"
